id,name,host_id,host_name,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license,price_log,host_type,occupancy_level,reviews_per_month_bucket,distance_center_km,review_month,review_season,min_nights_category
46352,A room in Pasolini's house,467810,Eleonora,Porto - Saragozza,44.49163,11.33398,Private room,68.0,2,479,2025-09-04,2.62,2,65,41,IT037006C1C1767,4.23410650459726,single-listing,low,high,0.7764120394625476,9.0,fall,
59697,COZY LARGE BEDROOM in the city center,286688,Paolo,Santo Stefano,44.48817,11.34124,Private room,50.0,31,242,2025-06-08,1.55,2,148,2,,3.9318256327243257,single-listing,medium,medium,0.7543871812815743,6.0,summer,short
85368,Garden House Bologna,467675,Anna Maria,Santo Stefano,44.47888,11.35625,Entire home/apt,92.0,2,64,2025-05-25,0.39,1,256,4,IT037006C2QKQSH3S7,4.532599493153256,single-listing,high,low,2.083293661862454,5.0,spring,
219878,Top floor with elevator for Long and Short Stays,1139326,Elisa,Santo Stefano,44.48787,11.35392,Entire home/apt,133.0,28,185,2025-09-13,1.09,1,315,13,IT037006C2HQERHOGR,4.897839799950911,single-listing,high,medium,1.1901430977946392,9.0,fall,short
229114,Terrace between fair&city center,1196205,Davide,Navile,44.51072,11.34957,Entire home/apt,143.0,3,99,2025-09-11,0.63,1,328,16,IT037006C2KRRTWGRT,4.969813299576001,single-listing,high,medium,1.844263084233311,9.0,fall,very short
266777,BOLOGNA CENTRE APARTMENT W/ GARDEN,1398894,Giulia,Porto - Saragozza,44.49544,11.33114,Entire home/apt,71.0,180,51,2020-03-01,0.31,1,0,0,,4.276666119016055,single-listing,low,low,0.9148229031049504,3.0,spring,medium
383256,Appartamento Open Space in centro!,1884566,Federico,Porto - Saragozza,44.49984,11.34307,Entire home/apt,184.0,2,237,2025-08-21,1.45,4,40,17,IT037006C2UYW8RN2A,5.220355825078324,professional,low,medium,0.5515702076211505,8.0,summer,
411523,Melograno's house,2048622,Irene,Santo Stefano,44.4931,11.35442,Entire home/apt,162.0,2,143,2025-04-28,0.96,2,264,6,IT037006C2VL6I3CIH,5.093750200806762,single-listing,high,medium,0.9596334180861138,4.0,spring,
584370,Cosy Single Room with  bathroom,2879369,Andrea,Porto - Saragozza,44.49084,11.31162,Private room,122.0,1,27,2025-03-23,0.18,4,176,3,IT037006C1AZJOO6IC,4.812184355372417,professional,medium,low,2.5060788700165166,3.0,spring,
606753,Two rooms in Bologna,2671558,Fabio,Santo Stefano,44.47564,11.3727,Shared room,25.0,31,6,2015-08-17,0.04,2,20,0,,3.258096538021482,single-listing,low,low,3.209603586703638,8.0,summer,short
648513,Cosy studio in the World Heritage site,95428,Simona,Porto - Saragozza,44.4937,11.34051,Entire home/apt,68.0,31,13,2024-10-08,0.08,2,125,2,,4.23410650459726,single-listing,medium,low,0.21320454909802083,10.0,fall,short
670725,Camera singola e bagno accogliente,3398944,Enzo,Savena,44.46969,11.37699,Private room,86.0,1,8,2025-04-07,0.05,2,356,2,IT037006C1NJHJEAKO,4.465908118654584,single-listing,high,low,3.9137617239547486,4.0,spring,
684271,Ca 'de' Fiori self catering apartm.,3488947,Cristina,Navile,44.51693,11.34565,Entire home/apt,106.0,31,4,2018-11-11,0.03,1,0,0,,4.672828834461906,single-listing,low,low,2.4613185434631917,11.0,fall,short
690226,Bologna on the roof,2048622,Irene,Santo Stefano,44.49007,11.35267,Entire home/apt,167.0,3,119,2025-09-18,0.75,2,292,17,IT037006C2VJWVDVI8,5.123963979403259,single-listing,high,medium,0.9623030492430794,9.0,fall,very short
724304,Bologna cities and universities,3026417,Michela,Santo Stefano,44.49383,11.35173,Entire home/apt,97.0,3,83,2025-07-20,0.54,1,270,9,IT037006C2M7CXWSAL,4.584967478670572,single-listing,high,medium,0.734356347672046,7.0,summer,very short
732525,room in Bologna with bathroom,2879369,Andrea,Porto - Saragozza,44.49228,11.31329,Private room,196.0,1,19,2025-05-19,0.13,4,353,2,IT037006C1AZJOO6IC,5.2832037287379885,professional,high,low,2.3504604837115997,5.0,spring,
787769,cosy apartment downtown with terrace,4152306,Lisa,Santo Stefano,44.49862,11.34679,Entire home/apt,108.0,2,59,2025-09-21,0.38,1,196,46,IT037006C2AQ79LH8E,4.6913478822291435,single-listing,medium,low,0.5313016362552034,9.0,fall,
793706,Miniappartamento in Tavernetta,4181174,Flavia,Santo Stefano,44.48753,11.34114,Entire home/apt,60.0,3,388,2025-06-30,2.51,2,135,5,IT037006C2G2VFPREL,4.110873864173311,single-listing,medium,high,0.8259103758968713,6.0,summer,very short
804596,Riva Reno 114 - A quiet Place in the city center,4235069,Elena,Porto - Saragozza,44.4988,11.33933,Entire home/apt,186.0,2,261,2025-07-07,1.69,2,241,14,IT037006C26N837VRZ,5.231108616854587,single-listing,medium,high,0.5073179339703829,7.0,summer,
840951,Attic in historical center,4170880,Laura,Porto - Saragozza,44.49442,11.33176,Entire home/apt,96.0,3,157,2025-08-28,1.02,1,206,11,IT037006C2EUZAFYGV,4.574710978503383,single-listing,medium,medium,0.8650098406508011,8.0,summer,very short
842573,Artist's house,4399085,Anna,Santo Stefano,44.48589,11.34867,Entire home/apt,65.0,31,47,2022-07-22,0.31,1,141,0,,4.189654742026425,single-listing,medium,low,1.1096925260248165,7.0,summer,short
860436,close to the station & the center with priv. bath.,4506590,Alessandro,Navile,44.50986099243164,11.349018096923828,Private room,261.0,1,47,2025-01-01,0.31,2,92,1,IT037006B48EBY34UV,5.568344503761097,single-listing,low,low,1.740091295558671,1.0,winter,
884148,APOSA FLAT / CITY CENTER - BO,4664996,Vie D'Acqua Di Sandra Maria,Santo Stefano,44.49756,11.34428,Entire home/apt,120.0,1,722,2025-09-13,4.72,4,258,7,IT037006B4784CFSIV,4.795790545596741,professional,high,high,0.32517930079721336,9.0,fall,
944794,PrettyJewel Attic in Typical Village,3715410,Katia,Borgo Panigale - Reno,44.51419,11.2841,Entire home/apt,70.0,2,203,2025-09-13,1.33,1,160,22,IT037006C25IFOGG93,4.2626798770413155,single-listing,medium,medium,5.123965813861685,9.0,fall,
